DropletID,DetectionType,CenterX_px,CenterY_px,Area_px2,EquivDiameter_px,BoundingBoxX_px,BoundingBoxY_px,BoundingBoxW_px,BoundingBoxH_px,VideoFile,AnalysisStart_s,AnalysisEnd_s
1,A,174.636942675159,479.687898089172,157,14.1385504392572,168.5,472.5,13,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
2,A,188.65873015873,481.373015873016,126,12.6660247369343,182.5,474.5,12,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
3,A,202.16935483871,482.91935483871,124,12.5650986286284,196.5,476.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
4,A,158.051851851852,495.177777777778,135,13.1105811671049,151.5,488.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
5,A,184.393700787402,500.047244094488,127,12.716187407449,178.5,493.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
6,A,169.582857142857,501.982857142857,175,14.9270533036046,161.5,494.5,15,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
7,A,202.047619047619,501.650793650794,126,12.6660247369343,195.5,495.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
8,A,151.201388888889,515.145833333333,144,13.5405500051462,144.5,508.5,14,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
9,A,136.485714285714,516.892857142857,140,13.3511623562491,129.5,510.5,14,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
10,A,186.784,518.912,125,12.6156626101008,180.5,512.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
11,A,170.338983050847,519.322033898305,118,12.2573352030019,164.5,513.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
12,A,202.803418803419,521.08547008547,117,12.2052868353847,196.5,514.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
13,A,137.963855421687,537.975903614458,166,14.5381485900385,131.5,530.5,13,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
14,A,154.841726618705,537.532374100719,139,13.3033941803657,148.5,530.5,13,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
15,A,188.984,537.544,125,12.6156626101008,182.5,531.5,13,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
16,A,173.55,540.0875,160,14.2729929292222,166.5,532.5,14,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
17,A,201.809917355372,538.719008264463,121,12.4121708380506,195.5,532.5,13,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
18,A,140.20625,557.86875,160,14.2729929292222,133.5,550.5,13,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
19,A,179.150684931507,556.883561643836,146,13.6342573516614,172.5,550.5,14,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
20,A,157.21875,559.1125,160,14.2729929292222,150.5,551.5,14,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
21,A,206.155963302752,557.633027522936,109,11.7806243627463,200.5,551.5,11,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
22,A,192.473214285714,558.339285714286,112,11.9416426428837,186.5,552.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
23,A,147.090425531915,615.202127659574,188,15.4715556557901,139.5,607.5,15,16,VIDEO-2026-03-10-10-04-20.mp4,36,463
24,A,160.611940298507,614.134328358209,134,13.0619332028039,154.5,607.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
25,A,174.983333333333,616.908333333333,120,12.3607744647421,168.5,610.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
26,A,191.778761061947,617.495575221239,113,11.9948350782774,185.5,611.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
27,A,204.859504132231,619.231404958678,121,12.4121708380506,198.5,612.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
28,A,268.183486238532,618.275229357798,109,11.7806243627463,262.5,612.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
29,A,290.270072992701,621.496350364964,137,13.2073395363607,284.5,614.5,12,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
30,A,303.115942028986,624.31884057971,138,13.255453865238,296.5,617.5,13,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
31,A,320.678832116788,625.211678832117,137,13.2073395363607,314.5,618.5,13,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
32,A,163.75,630.83125,160,14.2729929292222,157.5,623.5,13,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
33,A,249.81512605042,631.957983193277,119,12.3091634899974,243.5,625.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
34,A,177.450381679389,633.946564885496,131,12.9148898702353,170.5,627.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
35,A,267.208,634.056,125,12.6156626101008,260.5,627.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
36,A,146.226890756303,635.252100840336,119,12.3091634899974,140.5,628.5,11,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
37,A,192.205555555556,637.522222222222,180,15.138795132121,184.5,630.5,16,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
38,A,289.421875,637.15625,128,12.7661529728458,283.5,630.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
39,A,204.836206896552,641.448275862069,116,12.153015559493,199.5,634.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
40,A,303.838709677419,641.572580645161,124,12.5650986286284,297.5,635.5,13,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
41,A,321.479674796748,644.292682926829,123,12.5143303457446,315.5,637.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
42,A,161.346774193548,648.927419354839,124,12.5650986286284,155.5,642.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
43,A,175.587719298246,650.947368421053,114,12.0477926650407,169.5,644.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
44,A,145.220338983051,651.406779661017,118,12.2573352030019,138.5,645.5,13,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
45,A,251.866666666667,653.866666666667,120,12.3607744647421,245.5,647.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
46,A,188,654.380530973451,113,11.9948350782774,181.5,648.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
47,A,269.861788617886,655.235772357724,123,12.5143303457446,263.5,648.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
48,A,204.942675159236,658.611464968153,157,14.1385504392572,198.5,651.5,13,15,VIDEO-2026-03-10-10-04-20.mp4,36,463
49,A,288.894736842105,658.078947368421,114,12.0477926650407,282.5,651.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
50,A,303.779661016949,658.677966101695,118,12.2573352030019,297.5,652.5,13,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
51,A,321.248120300752,661.278195488722,133,13.0131033750515,314.5,654.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
52,A,142.653543307087,664.582677165354,127,12.716187407449,136.5,657.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
53,A,156.50406504065,665.861788617886,123,12.5143303457446,150.5,659.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
54,A,172.550847457627,665.881355932203,118,12.2573352030019,166.5,659.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
55,A,187.669811320755,666.849056603774,106,11.6173745632104,181.5,660.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
56,A,268.927927927928,669.81981981982,111,11.8882122064507,263.5,663.5,11,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
57,A,250.390243902439,671.609756097561,123,12.5143303457446,244.5,665.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
58,A,204.442307692308,672.865384615385,104,11.5072547835032,198.5,666.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
59,A,287.578512396694,673.785123966942,121,12.4121708380506,281.5,667.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
60,A,303.480620155039,674.953488372093,129,12.8159237384917,297.5,668.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
61,A,319.713286713287,677.755244755245,143,13.4934522972117,313.5,670.5,13,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
62,A,148.935483870968,682.153225806452,124,12.5650986286284,142.5,675.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
63,A,161.392,682.52,125,12.6156626101008,155.5,676.5,12,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
64,A,178.149606299213,683.267716535433,127,12.716187407449,171.5,676.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
65,A,192.9,684.333333333333,120,12.3607744647421,186.5,677.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
66,A,249.669172932331,684.15037593985,133,13.0131033750515,243.5,677.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
67,A,206.177570093458,686.700934579439,107,11.672044863119,200.5,680.5,11,12,VIDEO-2026-03-10-10-04-20.mp4,36,463
68,A,271.892307692308,687.169230769231,130,12.8655019651614,265.5,680.5,13,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
69,A,287.417322834646,688.204724409449,127,12.716187407449,281.5,681.5,12,13,VIDEO-2026-03-10-10-04-20.mp4,36,463
70,A,303.302816901408,691.091549295775,142,13.44618962206,296.5,684.5,13,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
71,A,317.244897959184,692.299319727891,147,13.6808703332818,310.5,685.5,13,14,VIDEO-2026-03-10-10-04-20.mp4,36,463
